year,oil_production,gas_production,coal_production
1900,234.9492645263672,73.84042358398438,5349.88818359375
1901,262.8380126953125,81.82806396484375,5446.59521484375
1902,285.3885803222656,89.81570434570312,5578.42431640625
1903,305.04327392578125,97.8033447265625,6087.26025390625
1904,342.53839111328125,105.79098510742188,6118.24169921875
1905,336.8978271484375,113.77862548828124,6596.001953125
1906,335.5487670898437,121.76626586914062,6965.47607421875
1907,414.9002380371094,129.75390625,7705.01171875
1908,448.5342102050781,137.74154663085938,7322.5712890625
1909,471.3173828125,145.72918701171875,7651.541015625
1910,512.6387939453125,157.58900451660156,8062.11279296875
1911,543.0046997070312,165.96533203125,8205.7119140625
1912,551.75048828125,174.34165954589844,8610.94140625
1913,608.3303833007812,182.71798706054688,9226.5068359375
1914,626.5895385742188,191.0943145751953,8280.982421875
1915,672.5629272460938,199.4706420898437,8150.0751953125
1916,721.4902954101562,207.84698486328125,8742.185546875
1917,797.5388793945312,216.2233123779297,9104.1611328125
1918,791.81689453125,224.59963989257807,8941.4736328125
1919,901.778564453125,232.97596740722656,7583.65771484375
1920,1155.38232421875,241.352294921875,8691.7265625
1921,1250.8414306640625,249.72862243652344,7258.0126953125
1922,1396.22802734375,266.5861511230469,7660.61376953125
1923,1651.33203125,312.3464660644531,8922.9423828125
1924,1646.66845703125,358.1067810058594,8688.8740234375
1925,1726.5084228515625,403.8670959472656,8710.9326171875
1926,1771.9932861328125,449.6274108886719,8671.8076171875
1927,2023.119873046875,495.3877258300781,9344.693359375
1928,2124.591552734375,541.1480712890625,9178.9248046875
1929,2381.73095703125,574.6060180664062,9761.5830078125
1930,2271.234375,602.3995361328125,8920.0009765625
1931,2197.51171875,631.0239868164062,7866.67333984375
1932,2097.37744140625,659.6484375,6994.431640625
1933,2290.272705078125,688.2728881835938,7322.669921875
1934,2416.888427734375,716.8973388671875,7990.40087890625
1935,2627.658935546875,745.5217895507812,8334.595703125
1936,2861.701171875,774.146240234375,9155.564453125
1937,3257.144287109375,830.521484375,9618.814453125
1938,3179.63037109375,881.9483032226562,8974.3828125
1939,3312.7822265625,945.3051147460938,9479.8095703125
1940,3419.487548828125,1008.6619262695312,10455.5322265625
1941,3522.424560546875,1072.0186767578125,10838.0087890625
1942,3315.6083984375,1135.37548828125,11023.7744140625
1943,3568.095703125,1198.7322998046875,11329.4033203125
1944,4098.1328125,1262.089111328125,10878.439453125
1945,4093.34130859375,1325.4459228515625,8728.4833984375
1946,4354.17919921875,1396.3861083984375,9398.1689453125
1947,4796.53759765625,1544.8779296875,10559.6240234375
1948,5428.87255859375,1746.57373046875,10910.7802734375
1949,5397.73876953125,1866.3092041015625,10373.650390625
1950,6055.578125,2136.6337890625,11332.5751953125
1951,6867.23583984375,2534.50927734375,11939.0185546875
1952,7218.298828125,2729.626708984375,11870.5009765625
1953,7632.51318359375,2886.344970703125,11923.185546875
1954,7990.69384765625,3027.59814453125,11769.4384765625
1955,8955.4833984375,3293.56298828125,12787.8818359375
1956,9745.8583984375,3571.749755859375,13514.0908203125
