country,year,renewables_consumption,renewables_electricity,solar_electricity,wind_electricity,hydro_electricity,nuclear_electricity
World,1900,,,,,,
World,1901,,,,,,
World,1902,,,,,,
World,1903,,,,,,
World,1904,,,,,,
World,1905,,,,,,
World,1906,,,,,,
World,1907,,,,,,
World,1908,,,,,,
World,1909,,,,,,
World,1910,,,,,,
World,1911,,,,,,
World,1912,,,,,,
World,1913,,,,,,
World,1914,,,,,,
World,1915,,,,,,
World,1916,,,,,,
World,1917,,,,,,
World,1918,,,,,,
World,1919,,,,,,
World,1920,,,,,,
World,1921,,,,,,
World,1922,,,,,,
World,1923,,,,,,
World,1924,,,,,,
World,1925,,,,,,
World,1926,,,,,,
World,1927,,,,,,
World,1928,,,,,,
World,1929,,,,,,
World,1930,,,,,,
World,1931,,,,,,
World,1932,,,,,,
World,1933,,,,,,
World,1934,,,,,,
World,1935,,,,,,
World,1936,,,,,,
World,1937,,,,,,
World,1938,,,,,,
World,1939,,,,,,
World,1940,,,,,,
World,1941,,,,,,
World,1942,,,,,,
World,1943,,,,,,
World,1944,,,,,,
World,1945,,,,,,
World,1946,,,,,,
World,1947,,,,,,
World,1948,,,,,,
World,1949,,,,,,
World,1950,,,,,,
World,1951,,,,,,
World,1952,,,,,,
World,1953,,,,,,
World,1954,,,,,,
World,1955,,,,,,
World,1956,,,,,,
World,1957,,,,,,
World,1958,,,,,,
World,1959,,,,,,
World,1960,,,,,,
World,1961,,,,,,
World,1962,,,,,,
World,1963,,,,,,
World,1964,,,,,,
World,1965,2629.672607421875,941.1832885742188,0.0,0.0,923.1980590820312,25.539724349975582
World,1966,2803.92822265625,1003.6229858398438,0.0,0.0,983.8169555664062,34.43328857421875
World,1967,2865.570556640625,1025.7288818359375,0.0,0.0,1005.7423706054688,41.00601577758789
World,1968,3021.1474609375,1081.40869140625,0.0,0.0,1059.2886962890625,52.113162994384766
World,1969,3198.356201171875,1145.0003662109375,0.0,0.0,1121.742431640625,61.78341293334961
World,1970,3356.7353515625,1200.3515625,0.0,0.0,1174.649658203125,78.8746566772461
World,1971,3509.718994140625,1255.1304931640625,0.0,0.0,1227.2421875,109.70417785644533
World,1972,3676.639404296875,1314.517822265625,0.0,0.0,1284.6290283203125,152.17515563964844
World,1973,3734.0302734375,1335.1087646484375,0.0,0.0,1303.012939453125,203.90158081054688
World,1974,4097.13134765625,1465.520751953125,0.0,0.0,1431.231689453125,266.60009765625
World,1975,4147.15234375,1483.695556640625,0.0,0.0,1448.8834228515625,369.8482055664063
World,1976,4143.68603515625,1481.9276123046875,0.0,0.0,1443.1365966796875,432.6714172363281
World,1977,4289.64013671875,1532.564453125,0.0,0.0,1491.67236328125,538.5477905273438
World,1978,4642.88427734375,1657.6820068359375,0.0,0.003000000026077,1614.38232421875,625.7943725585938
World,1979,4882.2001953125,1741.69140625,0.0,0.006000000052154,1695.1861572265625,650.8599243164062
World,1980,4998.31884765625,1781.377197265625,0.0,0.0104999998584389,1731.6492919921875,711.9241943359375
World,1981,5110.5419921875,1822.4002685546875,0.0,0.0104999998584389,1768.903564453125,840.750732421875
World,1982,5232.970703125,1862.635498046875,0.0,0.0185000002384185,1800.9080810546875,912.1775512695312
World,1983,5478.75244140625,1946.15966796875,0.003000000026077,0.0327949486672878,1877.7689208984373,1033.812744140625
World,1984,5689.2333984375,2017.7706298828125,0.006311111152172,0.0447555556893348,1941.3734130859373,1254.5684814453125
World,1985,5812.4658203125,2058.022216796875,0.0117474747821688,0.0642202049493789,1979.24365234375,1488.921630859375
World,1986,5924.06640625,2091.67041015625,0.01518383808434,0.1388313174247741,2006.072998046875,1594.7357177734375
World,1987,6019.64599609375,2124.914306640625,0.0106030302122235,0.195376768708229,2033.1923828125,1734.733154296875
World,1988,6213.5087890625,2192.8515625,0.0101959593594074,0.3315798044204712,2098.348876953125,1891.249267578125
World,1989,6229.73193359375,2195.17138671875,0.2622232437133789,2.649776697158813,2087.5869140625,1945.0106201171875
World,1990,6480.236328125,2279.8671875,0.3882499635219574,3.632470607757568,2158.6220703125,2000.595947265625
World,1991,6640.31787109375,2335.398681640625,0.5052228569984436,4.086106777191162,2208.544189453125,2096.309814453125
World,1992,6667.22998046875,2344.674072265625,0.4665791094303131,4.73281192779541,2208.314697265625,2112.222900390625
World,1993,7058.77685546875,2483.062255859375,0.556677520275116,5.704168796539307,2341.320556640625,2184.964599609375
World,1994,7129.369140625,2504.311767578125,0.5969828963279724,7.131730079650879,2355.905517578125,2225.978759765625
World,1995,7512.3828125,2638.9423828125,0.6388827562332153,8.272123336791992,2483.388916015625,2322.52978515625
World,1996,7615.42724609375,2677.43359375,0.6992299556732178,9.215600967407228,2516.81494140625,2406.614990234375
World,1997,7784.81298828125,2735.54541015625,0.7496557831764221,12.028216361999512,2561.355712890625,2390.064208984375
World,1998,7874.8251953125,2765.891845703125,0.811851978302002,15.92926025390625,2580.933349609375,2431.19482421875
World,1999,7972.27490234375,2799.2490234375,0.9052879214286804,21.22689819335937,2600.46875,2523.70556640625
World,2000,8152.46728515625,2859.6201171875,1.0199999809265137,31.14999961853028,2629.669921875,2540.4599609375
World,2001,7964.83984375,2796.969970703125,1.3600000143051147,38.18999862670898,2563.719970703125,2613.169921875
World,2002,8138.82373046875,2874.159912109375,1.7200000286102295,52.220001220703125,2611.580078125,2654.780029296875
World,2003,8177.06298828125,2900.260009765625,2.109999895095825,63.20000076293945,2611.969970703125,2601.050048828125
World,2004,8811.904296875,3131.5400390625,2.7799999713897705,85.4800033569336,2802.610107421875,2719.409912109375
World,2005,9151.2900390625,3281.469970703125,3.950000047683716,104.4000015258789,2911.77001953125,2726.969970703125
World,2006,9598.0,3434.06005859375,5.420000076293945,133.1999969482422,3018.070068359375,2761.590087890625
World,2007,9962.6591796875,3543.320068359375,7.289999961853027,171.14999389648438,3062.780029296875,2703.489990234375
World,2008,10720.2939453125,3801.02001953125,11.850000381469728,220.8500061035156,3245.35009765625,2694.719970703125
World,2009,10959.9658203125,3882.469970703125,19.81999969482422,276.260009765625,3241.27001953125,2656.760009765625
World,2010,11784.3701171875,4193.31982421875,32.209999084472656,345.989990234375,3428.2099609375,2725.909912109375
World,2011,12318.796875,4397.9599609375,63.560001373291016,439.9800109863281,3488.070068359375,2610.340087890625
World,2012,13101.08984375,4723.2099609375,96.91999816894533,529.260009765625,3660.169921875,2432.219970703125
World,2013,13929.001953125,5027.47021484375,131.75,634.1400146484375,3790.7900390625,2448.52001953125
World,2014,14629.96484375,5286.72021484375,197.7400054931641,706.0999755859375,3870.669921875,2498.72998046875
World,2015,15143.9375,5512.64013671875,256.010009765625,829.6300048828125,3882.1298828125,2532.929931640625
World,2016,15981.7490234375,5860.47021484375,327.4700012207031,960.2999877929688,4014.75,2571.050048828125
World,2017,16900.693359375,6224.330078125,444.6499938964844,1139.43994140625,4054.030029296875,2594.22998046875
World,2018,18004.244140625,6639.60009765625,575.1599731445312,1268.1400146484375,4176.83984375,2658.699951171875
World,2019,18936.255859375,6995.60986328125,697.9400024414062,1420.9599609375,4227.759765625,2754.080078125
World,2020,20040.708984375,7479.169921875,853.3900146484375,1591.469970703125,4347.02001953125,2648.330078125
World,2021,21197.068359375,7941.259765625,1053.989990234375,1856.93994140625,4288.7001953125,2762.43994140625
World,2022,22657.552734375,8521.990234375,1333.1199951171875,2107.659912109375,4324.06982421875,2639.639892578125
World,2023,23814.4453125,8995.4501953125,1664.1400146484375,2319.179931640625,4240.10986328125,2697.739990234375
World,2024,25979.0234375,9877.6103515625,2142.64990234375,2509.5,4433.64990234375,2777.110107421875
